time,solar,meter_load,building_load,opt_load,opt_load_intplt,inverter_control
2023-01-19 08:00:00,27158.933333333334,-11557.572851558001,-38716.50618489133,-13414.0,-13414.0,1856.4271484419987
2023-01-19 08:15:00,34640.53333333333,-494.08370768209335,-35134.61704101542,-11720.0,-11720.0,11225.916292317906
2023-01-19 08:30:00,42035.0,4710.549104817333,-37324.450895182665,-10119.0,-10119.0,14829.549104817332
2023-01-19 08:45:00,49499.6,11959.523307292,-37540.076692708,-8551.1,-8551.1,20510.623307292
2023-01-19 09:00:00,56024.33333333333,16161.986197906668,-39862.347135426666,-7034.099999999999,-7034.099999999999,23196.08619790667
2023-01-19 09:15:00,61596.99999999999,20813.59713542,-40783.40286457999,-5499.799999999999,-5499.799999999999,26313.39713542
2023-01-19 09:30:00,67221.40000000001,28002.669921886663,-39218.730078113345,-3827.6,-3827.6,31830.269921886662
2023-01-19 09:45:00,71519.33333333333,32735.78072918,-38783.55260415333,-2069.7000000000003,-2069.7000000000003,34805.48072918
2023-01-19 10:00:00,74880.46666666667,37445.87005208,-37434.59661458668,-165.33,-165.33,37611.20005208
2023-01-19 10:15:00,78003.33333333333,37416.5170573,-40586.81627603333,1368.2,1368.2,36048.3170573
2023-01-19 10:30:00,80821.99999999999,43425.04843748,-37396.951562519986,3627.0,3627.0,39798.04843748
2023-01-19 10:45:00,84325.2,46470.55364583333,-37854.64635416667,5603.1,5603.1,40867.45364583333
2023-01-19 11:00:00,87558.06666666668,48921.962499986665,-38636.104166680016,7473.5,7473.5,41448.462499986665
2023-01-19 11:15:00,89008.8,51728.778645826664,-37280.02135417334,9393.5,9393.5,42335.278645826664
2023-01-19 11:30:00,88836.53333333334,60113.42682292,-28723.106510413338,12926.0,12926.0,47187.42682292
2023-01-19 11:45:00,90308.86666666667,56765.81953124666,-33543.047135420005,12912.0,12912.0,43853.81953124666
2023-01-19 12:00:00,92967.46666666666,58446.81223957334,-34520.65442709332,14266.0,14266.0,44180.81223957334
2023-01-19 12:15:00,96857.73333333332,59710.68098958667,-37147.052343746655,15339.0,15339.0,44371.68098958667
2023-01-19 12:30:00,95133.73333333334,63231.441927073334,-31902.291406260003,17040.0,17040.0,46191.441927073334
2023-01-19 12:45:00,99208.80000000002,62973.96171875334,-36234.83828124668,17238.0,17238.0,45735.96171875334
2023-01-19 13:00:00,90508.0,63703.650000006666,-26804.349999993334,17598.0,17598.0,46105.650000006666
2023-01-19 13:15:00,100343.0,56788.912499993334,-43554.087500006666,15191.0,15191.0,41597.912499993334
2023-01-19 13:30:00,89881.73333333334,61825.399218746665,-28056.334114586673,16553.0,16553.0,45272.399218746665
2023-01-19 13:45:00,54549.4,57513.44635416,-28056.334114586673,8450.5,8450.5,49062.94635416
2023-01-19 14:00:00,54595.88888888888,29197.483658859997,-25398.405230028886,8471.4,8471.4,20726.08365886
2023-01-19 14:15:00,50004.85714285714,14020.362630216667,-35984.49451264047,6365.5,6365.5,7654.862630216667
2023-01-19 14:30:00,27092.36363636364,6926.745947264933,-20165.617689098704,5371.5,5371.5,1555.2459472649334
2023-01-19 14:45:00,0.0,11311.520318597799,-20165.617689098704,2713.2999999999997,2713.2999999999997,8598.2203185978
2023-01-19 15:00:00,0.0,-1503.784294636867,-1503.784294636867,4118.7,4118.7,-5622.484294636866
2023-01-19 15:15:00,15807.428571428574,-6629.873925780667,-22437.302497209243,3490.3,3490.3,-10120.173925780668
2023-01-19 15:30:00,0.0,-8371.294010414666,-8371.294010414666,3172.5,3172.5,-11543.794010414666
2023-01-19 15:45:00,7127.333333333334,-11704.349381509333,-18831.682714842667,2751.6,2751.6,-14455.949381509334
2023-01-19 16:00:00,0.0,-15046.902604166668,-15046.902604166668,2356.2,2356.2,-17403.102604166666
2023-01-19 16:15:00,0.0,-17572.513606766664,-17572.513606766664,2053.4,2053.4,-19625.913606766666
2023-01-19 16:30:00,0.0,-19965.94934894667,-19965.94934894667,1786.2,1786.2,-21752.14934894667
2023-01-19 16:45:00,0.0,-21870.454166673335,-21870.454166673335,1584.2,1584.2,-23454.654166673336
2023-01-19 17:00:00,-97.33333333333333,-21321.401041673333,-21224.06770834,1630.4,1630.4,-22951.801041673334
2023-01-19 17:15:00,-101.66666666666666,-20179.15325519333,-20077.486588526663,1734.9,1734.9,-21914.053255193332
2023-01-19 17:30:00,-99.5,-19969.182812513332,-19869.682812513332,1784.2,1784.2,-21753.382812513333
2023-01-19 17:45:00,-98.19999999999999,-19479.068880206665,-19380.868880206664,1881.2,1881.2,-21360.268880206666
2023-01-19 18:00:00,-98.19999999999999,-19309.094140620004,-19210.894140620003,1976.5,1976.5,-21285.594140620004
2023-01-19 18:15:00,-100.73333333333333,-19283.86523437333,-19183.131901039997,2086.1,2086.1,-21369.96523437333
2023-01-19 18:30:00,-99.93333333333334,-19124.883723973337,-19024.950390640002,2234.1000000000004,2234.1000000000004,-21358.98372397334
2023-01-19 18:45:00,-97.33333333333333,-19002.953645813333,-18905.62031248,2409.1,2409.1,-21412.053645813332
2023-01-19 19:00:00,-97.33333333333333,-19217.14062500667,-19119.807291673336,2588.2000000000003,2588.2000000000003,-21805.34062500667
2023-01-19 19:15:00,-99.5,-18734.786458313334,-18635.286458313334,2867.6,2867.6,-21602.386458313333
2023-01-19 19:30:00,-98.19999999999999,-19323.06940105333,-19224.86940105333,3091.4,3091.4,-22414.46940105333
2023-01-19 19:45:00,-101.35714285714285,-19260.878776039997,-19159.521633182856,3425.2,3425.2,-22686.078776039998
